# Chunk-averaged data for fix g_avg and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
50000 240 51540.000000000015
  26 0.10625 220.252 297.635
  27 0.110417 201.546 298.057
  28 0.114583 232 297.42
  29 0.11875 205.658 299.228
  30 0.122917 222.072 297.706
  31 0.127083 213.796 294.743
  32 0.13125 200.474 303.274
  33 0.135417 220 297.292
  34 0.139583 208.26 298.039
  35 0.14375 223.352 297.37
  36 0.147917 211.802 298.687
  37 0.152083 207.414 294.071
  38 0.15625 223.172 293.325
  39 0.160417 213.574 297.118
  40 0.164583 227.37 294.763
  41 0.16875 212.466 294.642
  42 0.172917 206.348 294.481
  43 0.177083 226.242 300.492
  44 0.18125 205.616 304.432
  45 0.185417 220.92 310.104
  46 0.189583 215.854 312.787
  47 0.19375 205.41 303.696
  48 0.197917 232.2 301.313
  49 0.202083 201.938 300.62
  50 0.20625 223.486 295.734
  51 0.210417 216.716 299.739
  52 0.214583 202.672 298.403
  53 0.21875 223.188 304.75
  54 0.222917 200.558 295.435
  55 0.227083 230.852 299.706
  56 0.23125 206.586 298.972
  57 0.235417 206.842 297.81
  58 0.239583 223.162 296.886
  59 0.24375 200.04 297.565
  60 0.247917 233.94 300.438
  61 0.252083 208.89 299.545
  62 0.25625 211.13 299.334
  63 0.260417 220 295.379
  64 0.264583 199.066 301.516
  65 0.26875 233.626 299.842
  66 0.272917 213.022 295.465
  67 0.277083 200.286 298.338
  68 0.28125 232 295.436
  69 0.285417 199.342 300.331
  70 0.289583 228.276 300.761
  71 0.29375 216.376 301.505
  72 0.297917 198.006 301.982
  73 0.302083 220 300.57
  74 0.30625 199.476 297.359
  75 0.310417 232.334 298.546
  76 0.314583 212.67 300.635
  77 0.31875 206.152 297.241
  78 0.322917 223.368 297.604
  79 0.327083 205.948 299.822
  80 0.33125 223.45 299.654
  81 0.335417 226.582 297.54
  82 0.339583 203.16 297.459
  83 0.34375 226.86 299.12
  84 0.347917 198.014 298.795
  85 0.352083 217.414 293.239
  86 0.35625 228.472 300.846
  87 0.360417 203.172 300.051
  88 0.364583 232.928 299.98
  89 0.36875 198.01 300.26
  90 0.372917 211.896 300.223
  91 0.377083 232.478 299.452
  92 0.38125 202.15 298.656
  93 0.385417 223.466 304.713
  94 0.389583 198.032 298.986
  95 0.39375 213.216 300.786
  96 0.397917 226.02 302.218
  97 0.402083 207.204 300.182
  98 0.40625 223.528 300.83
  99 0.410417 198.19 301.484
  100 0.414583 213.85 301.838
  101 0.41875 229.062 298.711
  102 0.422917 212.896 300.327
  103 0.427083 220.002 303.407
  104 0.43125 198.152 301.435
  105 0.435417 212.728 303.963
  106 0.439583 231.808 303.219
  107 0.44375 203.306 299.235
  108 0.447917 232.006 305.719
  109 0.452083 199.072 301.444
  110 0.45625 214.474 297.105
  111 0.460417 226.714 302.667
  112 0.464583 201.718 301.028
  113 0.46875 220.022 301.459
  114 0.472917 199.374 304.534
  115 0.477083 220.124 307.542
