# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_flux[1]*c_flux[1] c_flux[2]*c_flux[2] c_flux[3]*c_flux[3]
0 100
30 101500 372 -9594.77 10225.6 26724.6
31 105000 371 51350.1 51957.6 -48149.3
32 108500 370 -8816.49 -68723.4 -38034
33 112000 369 4228.14 49946.9 72880.8
34 115500 368 10735.1 -9386.22 47461.4
35 119000 367 36144.2 43571.2 22757.2
36 122500 366 -16842.1 -4850.17 19872.2
37 126000 365 36795.2 -10737.1 -16704.1
38 129500 364 87994 -34416.2 36722
39 133000 363 7440.29 22055.9 2983.58
40 136500 362 -36942.1 -14715.6 -6366.85
41 140000 361 -8364.78 68682.8 34271
42 143500 360 1198.82 -56838.7 49404.5
43 147000 359 50980.9 15552.2 -8704.49
44 150500 358 2610.56 -58829.7 -49452.9
45 154000 357 -68005.9 19092.7 -7689.31
46 157500 356 2879.05 -93724.9 29233.2
47 161000 355 -14387 -11403.7 79931.7
48 164500 354 35332.2 49352.8 -102769
49 168000 353 44035.6 -55684 -67811.9
50 171500 352 -35324.1 64292.8 -13130
51 175000 351 39699.4 -39135.6 -9916.03
52 178500 350 -71976.3 38880.4 3591.45
53 182000 349 1000.43 10382.2 53043.8
54 185500 348 17584.5 -8360.46 -33474.7
55 189000 347 -24228.8 7030.74 34304.6
56 192500 346 -54748.3 17833.5 -14676.2
57 196000 345 -52540.6 -4278.67 -23308.8
58 199500 344 28209.1 45634 -4246.41
59 203000 343 -7181.36 14060.8 -45952.7
60 206500 342 -12828.9 53374.6 -48387
61 210000 341 13923.5 -37944.4 12315.7
62 213500 340 73527.8 25065.4 -33769.7
63 217000 339 -29875.4 1864.68 19851.1
64 220500 338 -11607.5 -6779.1 26968.5
65 224000 337 23180.6 42111.2 -43629
66 227500 336 -38757.7 60898.3 16778.8
67 231000 335 9886.81 -51691.3 18991.2
68 234500 334 81469.4 41080.3 5905.41
69 238000 333 45640.9 -1937.57 6318.95
70 241500 332 14165.5 12235 14251.4
71 245000 331 77818.9 -100248 -24185.1
72 248500 330 58534.5 -6189.65 -49142.1
73 252000 329 82787.9 -47255.7 -17452.8
74 255500 328 -5437.66 3140.49 -4338.89
75 259000 327 9261.56 -1882.8 68891.5
76 262500 326 -10544.2 -5605.31 60643.2
77 266000 325 26069.6 6783.04 -34489.2
78 269500 324 -83346.1 -47521.2 86800
79 273000 323 -66193.5 -41593.2 -2678.93
80 276500 322 -22278.9 8381.54 57783.4
81 280000 321 60722.9 50258.3 -89766.7
82 283500 320 -34240 -18630.1 -41838.7
83 287000 319 37080.7 41201.5 -67475.3
84 290500 318 58696 -10215.8 -10367.7
85 294000 317 72708 8092.05 51648.1
86 297500 316 510.742 -41975.2 3320.95
87 301000 315 -46710 17787.6 95360
88 304500 314 -14830.3 1033.42 -86652.9
89 308000 313 -32886.2 -18111.8 22479.7
90 311500 312 -55158.8 15898.4 33340.1
91 315000 311 -63348.1 -16801 -447.171
92 318500 310 -57958.9 123165 -22327.6
93 322000 309 -47672.3 -35448.2 -30829.1
94 325500 308 -9747.19 45564.8 -66364.5
95 329000 307 7284.4 -34837.2 38661.9
96 332500 306 28678.5 9666.57 12295.7
97 336000 305 34543.7 -11623.3 -35679.2
98 339500 304 60653.3 41303.6 -55636.2
99 343000 303 62327.9 4425.3 -34245.4
100 346500 302 28627.8 3720.11 4863.97
1750000 100
1 0 501 810949 799632 761506
2 3500 500 83723.5 -27800.8 8225.3
3 7000 499 17467.9 41037 -7682.18
4 10500 498 12299.2 -21415 -72.8132
5 14000 497 -18203.9 38881.3 1613.8
6 17500 496 -54847.4 -38012.3 17841.3
7 21000 495 -33844 -4481.76 8660.59
8 24500 494 -34245.1 27304 21055.6
9 28000 493 -33999.9 -18694.4 -24060.4
10 31500 492 -59049.6 -2715.46 69735.1
11 35000 491 -7207.35 12197.4 20018.1
12 38500 490 -10089.9 -14458 11281.4
13 42000 489 37876.9 -38062.7 31756.1
14 45500 488 -18792.6 6659.05 4768.55
15 49000 487 34986.4 -35210.1 18218.6
16 52500 486 -46268.8 21265.4 9964.2
17 56000 485 -78075.3 -19085.6 3171.63
18 59500 484 -58556.6 40491.7 36730.6
19 63000 483 15575.3 -59352.8 -2840.66
20 66500 482 -23091.7 -73556.3 21601.1
21 70000 481 3499.77 -39410.8 -42926.1
22 73500 480 30302.6 -10586.4 14520.3
23 77000 479 52207.4 7817.35 30523.8
24 80500 478 -15497.7 30224 431.421
25 84000 477 45928.3 28999.3 45546.9
26 87500 476 -33739.4 19075.9 62726.8
27 91000 475 -42832.6 -26815.3 -38380.9
28 94500 474 21453.3 -9781.86 -45665.8
29 98000 473 -3060.43 -22647.2 14764.4
30 101500 472 -18766.9 -8190.27 12423.8
31 105000 471 38951.1 43993.6 -47622.7
32 108500 470 -2018.89 -28961.7 -13873.8
33 112000 469 30285.1 11122.3 60706.7
34 115500 468 34125.9 -3032.65 35491
35 119000 467 12257.3 42078.3 24690
36 122500 466 -12004.8 -23050.9 23811.3
37 126000 465 11408.7 -23882.8 -18708.9
38 129500 464 45739.1 -7457.63 36257.3
39 133000 463 -29787.8 -4496.45 -6603.78
40 136500 462 -47784.1 -39471.7 -23683.1
41 140000 461 3409.82 55506.4 30404.7
42 143500 460 -20080.5 -11451.3 29556.8
43 147000 459 41487.4 14343 -13021.2
44 150500 458 36217.4 -37078.8 -26796.8
45 154000 457 -38932.4 3705.59 3599.73
46 157500 456 15492 -70843.6 15670.3
47 161000 455 -7080.28 -3513.44 57592.9
48 164500 454 26896.3 11600.7 -97457.8
49 168000 453 43053.8 -50419.1 -86757.8
50 171500 452 -38085.5 60646.7 1445.4
51 175000 451 47810.6 -34712.5 -5297.51
52 178500 450 -41247.4 40106.2 -7047.53
53 182000 449 5094.82 41311.5 23494.9
54 185500 448 44070.1 -6265.22 -4667.95
55 189000 447 -20640.3 3424.85 17866.4
56 192500 446 -15060.7 31255.7 -11265.2
57 196000 445 -74836.5 -14375.5 14614.5
58 199500 444 -6200.35 22832.3 -2930
59 203000 443 -35215.2 -3891.78 -11552.1
60 206500 442 -26585.5 50635.5 -31792.4
61 210000 441 20044 -33461.8 396.225
62 213500 440 53150.5 33141.2 -35437.2
63 217000 439 -36181.5 28556.4 15164.2
64 220500 438 -37380.7 -6774.64 5955.38
65 224000 437 -5045.74 30992.3 -32654.1
66 227500 436 -1603.87 60050.9 44303.6
67 231000 435 -9384.37 -53233.3 4206.44
68 234500 434 83347.2 3616.23 -4401.41
69 238000 433 30312.6 14662.7 17143.3
70 241500 432 7978.77 23255.1 4922.89
71 245000 431 69433.5 -80169.9 -30816.8
72 248500 430 55817.6 3326.21 -16437
73 252000 429 78807.6 -31124.2 -3253.38
74 255500 428 9265.86 12.3359 -22572.5
75 259000 427 -3079.12 3072.78 64459.8
76 262500 426 -996.651 -1237.14 52918.1
77 266000 425 22314.6 -17301.4 -43167.9
78 269500 424 -71626.9 -55002.5 82068.2
79 273000 423 -80183.3 -22101.2 10175.1
80 276500 422 -26604.1 1661.89 30528.5
81 280000 421 30066.9 -24155 -71055.1
82 283500 420 -26469.8 -36258.5 -27151.2
83 287000 419 39681.2 44723.3 -66267.7
84 290500 418 76337.4 -32348.3 2479.09
85 294000 417 23817.4 913.998 23563.9
86 297500 416 26169.7 -9.58681 -11675.9
87 301000 415 -36774.3 5413.32 71370.5
88 304500 414 -16060.4 -37571 -95883.5
89 308000 413 -18949.9 -4194.16 14136.8
90 311500 412 -37633.1 31881.8 35938.1
91 315000 411 -28925.8 4917.93 8991.07
92 318500 410 -46118.4 129328 -27137.5
93 322000 409 -46594.6 -11672.3 -17889.4
94 325500 408 9812.41 27081 -51711.5
95 329000 407 16578.4 -17427.4 13218.9
96 332500 406 33619 37312.5 17734.9
97 336000 405 46778 675.192 -12516.2
98 339500 404 68277.7 20238 -53417.5
99 343000 403 371.081 768.58 -52883
100 346500 402 -6828.01 -34962.7 33553.4
2100000 100
1 0 601 814799 798044 758654
2 3500 600 57137.2 -4067.72 25746.3
3 7000 599 29348.7 31832.2 6901.8
4 10500 598 16961 -44696.1 -14309.4
5 14000 597 -14981.5 26810.9 -11049.3
6 17500 596 -26041.5 -23368.9 4141.5
7 21000 595 -42567.9 -5770.56 15227.6
8 24500 594 -29230.3 45629.9 30147.6
9 28000 593 -54114.4 -14074.1 -4154.99
10 31500 592 -59578.3 17709.7 50164.5
11 35000 591 -13025.1 7009.88 -4094.8
12 38500 590 -10070.4 -10036.3 20756.4
13 42000 589 18887.4 -38652.7 34707.4
14 45500 588 -24221.7 9848.02 16819.1
15 49000 587 40915.2 -40450.4 41257.3
16 52500 586 -33878.7 23308 33141.4
17 56000 585 -68511.6 -24584.3 -3621.18
18 59500 584 -32364.7 38012.1 26276.7
19 63000 583 5399.85 -52073.9 -4826.38
20 66500 582 -16812.9 -57454.1 19534
21 70000 581 12373.5 -31138.9 -32187.1
